700 475
160 149 59
149 144 44
139 132 54
141 126 59
132 119 40
142 133 54
146 131 48
149 141 43
143 137 43
151 131 44
156 144 60
150 141 50
138 130 45
135 120 27
143 133 35
148 136 38
129 122 18
126 117 22
127 115 29
141 123 41
168 143 59
155 135 46
134 126 41
131 124 36
126 122 22
133 121 35
135 125 36
129 114 31
137 128 25
161 145 58
170 149 70
142 127 42
146 132 35
145 125 36
124 117 27
122 118 27
115 103 17
144 134 36
131 126 26
140 128 26
153 139 34
120 113 9
112 108 21
121 120 40
118 118 30
129 127 42
128 122 36
116 115 0
118 116 13
112 113 20
111 104 26
108 107 25
113 110 7
126 129 40
122 126 39
103 106 19
112 108 11
107 109 10
114 113 20
110 116 16
118 115 2
113 107 19
121 118 21
125 123 22
113 115 16
129 132 45
147 140 49
112 116 6
136 125 43
138 128 43
147 138 47
148 132 37
140 131 56
136 132 33
13 97 161
12 95 161
18 99 164
30 100 160
36 101 165
33 103 163
37 107 167
47 107 169
55 109 169
66 116 169
68 117 173
75 125 174
85 126 178
92 130 179
100 138 185
108 142 188
106 142 194
111 144 187
111 145 190
109 142 185
89 135 184
87 129 179
73 123 176
61 116 170
50 110 170
49 110 167
41 107 167
38 105 173
49 109 169
51 112 169
52 111 171
50 108 171
50 109 167
46 112 170
42 110 171
39 109 169
39 107 170
24 102 166
25 107 167
31 105 170
36 105 170
20 105 169
30 108 172
35 103 168
41 106 170
25 105 168
33 109 171
38 105 173
31 106 171
33 107 168
25 106 172
23 107 171
12 105 166
17 101 171
21 105 169
9 104 170
17 105 169
21 101 170
20 103 171
12 104 169
28 103 170
17 104 175
19 103 173
16 104 168
21 102 168
24 104 175
19 107 171
34 109 176
41 111 173
37 112 177
49 115 176
58 117 177
54 118 180
62 123 180
94 138 187
114 148 193
119 153 198
134 164 202
138 162 200
138 163 204
136 166 204
130 158 198
123 154 198
118 153 195
107 151 196
94 138 185
83 130 186
73 123 182
58 118 181
50 116 177
49 114 182
36 111 176
44 114 174
35 113 175
26 111 178
26 111 176
20 113 180
29 109 178
39 113 178
34 111 179
20 112 175
29 109 180
30 109 178
31 111 180
25 110 175
24 108 178
22 109 178
9 110 178
25 109 179
22 111 177
21 110 178
27 112 176
23 110 179
26 111 176
24 112 175
29 114 179
28 111 181
23 112 182
23 112 182
24 112 176
28 113 178
30 113 183
29 114 178
41 116 181
40 119 178
35 116 182
41 114 183
35 116 181
39 117 181
46 117 181
42 120 186
53 123 182
57 125 190
57 126 185
59 123 185
65 125 185
71 130 190
80 132 190
93 138 195
99 142 193
107 149 197
105 149 196
115 153 198
136 168 206
141 171 209
147 171 205
164 185 212
185 200 221
195 206 224
200 207 226
202 210 229
201 213 227
201 213 229
204 213 230
197 209 225
193 206 225
191 203 225
183 199 222
179 195 218
183 198 221
189 201 223
189 201 227
180 198 220
178 194 220
170 190 215
171 188 214
178 194 217
180 196 221
179 195 220
179 197 221
176 192 218
172 192 217
172 189 219
173 193 218
175 190 219
176 192 218
190 205 224
198 211 228
195 208 225
197 210 227
201 210 227
198 207 224
189 204 223
182 198 223
165 186 213
148 172 208
135 171 207
131 162 208
131 169 208
118 154 204
89 141 198
73 137 198
67 132 196
61 131 193
54 130 190
60 130 192
61 130 195
62 131 196
57 131 194
59 130 194
65 135 195
68 132 194
62 132 192
69 134 198
75 137 198
77 139 198
82 143 198
85 146 200
82 141 197
80 142 201
90 140 199
87 147 201
87 142 196
92 145 199
93 143 194
104 150 202
116 159 204
125 164 207
125 164 205
110 157 203
110 154 201
98 148 201
96 147 200
89 144 198
81 143 200
73 139 197
73 139 197
69 139 198
69 139 198
68 138 198
77 139 198
75 140 196
78 140 201
73 139 197
73 139 199
78 139 202
75 139 200
74 140 200
77 141 202
81 142 199
78 143 201
78 143 201
74 143 200
93 146 200
101 152 205
100 154 201
99 150 203
100 153 203
105 156 203
104 154 205
95 151 200
90 152 203
85 148 199
84 146 203
79 146 201
74 147 202
82 144 201
87 146 202
79 146 201
84 147 201
88 144 203
87 148 203
84 149 205
83 150 203
83 150 202
93 150 203
113 157 202
160 187 214
195 204 219
214 217 224
221 220 228
217 218 222
215 216 221
213 216 225
211 214 219
213 216 223
211 216 222
204 211 217
206 213 221
213 216 221
208 213 219
201 207 221
187 200 216
171 192 213
164 188 212
156 181 211
149 178 208
157 184 211
179 196 216
194 201 217
194 203 218
199 205 217
199 209 219
197 205 218
189 201 217
183 196 215
178 195 215
174 192 214
166 188 212
156 183 212
149 178 212
144 177 212
138 174 208
141 175 210
135 173 209
138 171 212
146 176 210
149 180 211
143 177 205
157 180 211
190 202 216
197 203 215
197 203 215
196 204 215
198 205 211
204 208 217
205 210 216
202 204 216
200 202 214
198 201 216
197 201 213
196 203 213
201 205 214
197 204 212
199 203 212
190 200 212
172 189 209
153 183 209
143 176 207
140 176 212
133 172 205
134 177 212
132 173 205
123 171 209
123 169 205
121 171 206
117 169 208
120 168 208
122 170 208
126 172 208
121 169 207
126 170 207
127 171 206
128 174 208
129 172 207
129 171 209
137 174 203
148 177 209
159 181 202
161 182 209
160 182 205
160 182 206
157 181 207
149 179 207
145 180 208
141 175 203
150 177 204
155 186 204
170 185 204
163 184 203
162 183 202
161 183 206
148 178 204
151 178 207
147 179 204
152 180 204
144 178 203
146 177 208
143 177 205
142 176 203
139 176 202
146 177 205
144 178 205
144 178 203
145 179 204
147 179 204
148 178 202
148 179 207
145 179 204
142 176 203
148 178 206
146 178 201
147 179 204
147 177 203
146 178 203
147 179 204
148 178 202
150 180 204
151 177 202
153 179 204
153 177 203
154 178 204
152 180 202
153 181 205
153 184 212
145 160 163
127 119 18
143 127 29
142 133 38
134 131 24
144 132 32
151 140 48
130 130 30
149 132 52
140 124 46
130 118 32
138 131 41
137 128 37
134 129 27
142 133 42
152 137 52
131 126 32
147 137 52
154 137 55
132 123 28
149 141 43
154 139 44
135 126 21
126 116 31
123 117 29
139 129 40
163 149 52
150 136 47
133 118 37
131 125 39
128 128 28
129 118 26
129 126 49
125 117 18
139 128 22
149 133 55
178 152 75
139 116 46
147 130 48
144 130 33
125 120 29
141 132 41
143 125 41
148 128 29
145 131 34
136 129 38
135 123 25
125 116 21
108 103 21
128 118 33
136 128 43
130 124 38
129 123 29
114 112 9
108 114 16
119 112 21
118 106 22
123 123 27
117 118 25
110 112 11
109 115 17
96 105 12
109 114 11
108 114 6
104 113 6
118 125 19
119 118 12
108 107 1
120 124 14
112 114 5
113 110 33
130 126 39
124 125 6
141 136 42
134 128 34
135 127 28
147 136 54
131 121 26
128 123 21
119 118 26
14 98 158
18 99 164
25 99 160
28 99 161
28 102 163
31 100 165
33 105 164
40 104 166
53 107 167
56 112 169
72 122 173
83 124 180
80 123 176
88 130 180
98 136 183
100 138 185
108 142 188
108 142 188
112 145 188
105 143 190
96 134 179
87 130 183
76 122 174
61 117 174
46 112 172
43 109 169
40 108 169
35 106 168
33 108 175
50 110 170
60 116 173
51 111 171
40 110 169
51 113 172
51 112 175
53 113 173
41 110 169
34 103 168
33 104 168
30 106 168
40 106 167
31 107 169
27 105 169
31 104 172
34 105 169
27 105 169
30 105 170
32 106 169
36 105 170
28 108 169
23 107 169
30 106 168
23 103 166
23 102 169
23 104 170
20 103 171
16 103 170
28 103 170
23 102 169
8 103 167
13 105 172
23 104 169
16 103 170
18 103 170
23 102 171
18 105 174
21 105 169
40 109 174
43 112 171
38 112 175
40 116 176
47 115 176
49 117 178
57 119 178
87 134 186
113 145 192
121 154 199
130 159 201
139 163 199
129 161 200
135 165 203
130 164 201
124 153 195
118 153 195
109 147 194
94 140 189
83 130 186
75 127 184
60 120 182
54 118 179
49 114 178
37 116 175
46 112 173
40 114 179
30 111 177
36 109 177
24 113 179
31 112 177
41 112 178
28 112 174
31 108 178
35 110 177
29 108 174
22 109 176
14 109 177
26 111 178
29 109 180
25 108 176
30 111 177
14 113 180
13 111 176
18 110 177
19 112 179
25 113 177
33 112 178
32 111 178
26 111 175
25 112 179
18 111 180
23 112 182
28 111 179
30 113 181
29 113 183
37 118 181
39 119 180
33 117 181
37 116 185
37 116 182
41 116 183
31 116 183
38 117 184
48 121 189
51 119 182
52 122 184
62 123 186
65 125 188
72 126 190
74 130 189
76 136 190
94 139 196
103 147 196
104 145 197
111 154 199
135 164 204
141 171 207
148 174 209
162 183 212
178 199 220
195 206 228
198 209 231
202 210 231
198 211 228
204 212 231
203 211 230
201 213 229
197 203 225
187 205 225
182 196 222
179 197 219
183 201 223
187 202 223
186 201 224
182 196 222
172 193 214
166 190 216
173 191 215
174 194 218
178 196 220
179 197 221
180 196 221
178 196 218
177 193 219
173 193 218
172 189 217
172 192 216
175 193 217
193 206 225
200 211 231
194 205 225
197 210 229
199 208 225
198 210 226
187 204 220
182 203 224
169 189 216
147 176 208
140 169 209
130 165 207
134 165 209
111 155 202
89 139 198
76 138 199
66 134 195
67 131 193
61 129 192
52 130 192
59 133 196
60 131 195
62 130 193
63 133 195
64 134 194
63 133 193
61 132 196
67 135 196
66 135 200
78 140 199
81 140 200
86 143 198
87 144 197
83 142 200
84 147 201
92 145 197
88 145 200
92 144 202
92 144 201
101 151 202
117 160 203
133 168 208
122 161 204
124 163 204
116 160 205
110 157 201
94 147 201
88 148 202
85 144 200
75 142 197
67 137 197
76 141 199
68 138 198
67 138 194
71 140 199
77 139 196
71 140 197
65 140 197
78 140 201
74 140 200
72 140 201
67 139 197
71 144 197
77 142 200
77 142 200
76 142 200
79 144 200
86 147 202
102 152 203
97 153 204
95 151 202
97 153 204
102 154 204
100 153 203
92 152 204
90 152 203
85 147 204
85 147 204
81 146 204
77 146 203
83 145 202
77 146 201
80 145 199
85 147 204
84 149 203
87 146 204
85 148 202
86 149 203
86 149 202
94 149 205
136 170 208
172 193 214
200 208 219
212 217 223
222 221 226
216 222 222
218 219 223
214 218 221
213 216 223
215 216 221
213 216 223
203 210 220
208 215 221
212 217 223
208 213 219
199 209 221
187 198 218
172 193 212
167 189 212
159 185 210
146 177 208
154 184 212
179 196 216
194 203 218
196 202 218
197 207 216
200 207 217
194 207 216
190 198 217
179 194 215
175 194 211
174 192 214
169 190 211
158 181 213
150 181 210
142 176 213
143 176 209
143 176 211
132 170 207
135 170 208
139 175 209
141 175 210
141 175 210
158 183 213
180 196 212
191 200 215
191 199 212
197 203 215
201 205 216
205 210 216
204 208 217
197 204 212
196 202 214
196 199 214
194 200 212
196 203 213
197 206 213
200 204 213
196 205 212
193 201 214
171 189 209
156 183 210
145 178 209
136 175 208
137 173 209
131 174 208
134 174 210
123 169 205
122 170 208
122 170 206
122 170 206
121 171 208
123 171 207
122 170 206
126 169 211
121 169 207
126 170 207
128 170 208
131 171 207
130 173 207
135 175 210
145 179 206
155 181 208
158 182 206
159 183 207
158 185 204
155 183 204
155 179 205
146 177 205
140 177 204
142 176 203
162 182 206
169 186 206
164 184 208
164 185 206
155 181 204
153 179 204
146 177 206
150 177 204
143 177 204
149 179 205
142 175 206
140 175 203
140 175 203
142 176 203
142 178 204
143 177 204
148 178 204
146 178 203
145 177 202
153 181 203
153 179 202
146 180 207
143 177 204
144 178 205
148 175 204
148 180 203
148 178 202
147 177 205
147 177 203
146 180 205
147 179 202
149 179 203
152 178 203
152 180 204
149 179 203
152 180 201
149 180 200
155 182 211
150 165 162
142 129 24
145 131 42
146 139 48
133 131 28
151 140 50
140 135 43
127 116 26
149 136 44
148 136 50
114 111 6
125 126 32
146 141 41
147 137 42
148 133 40
140 133 42
136 128 43
162 144 70
148 127 44
135 125 36
144 134 47
130 123 35
144 136 37
138 123 42
128 121 33
130 126 27
133 128 28
142 136 48
152 141 49
150 140 43
139 130 35
126 123 42
111 110 30
133 126 38
156 139 49
150 129 50
151 132 55
133 119 56
165 143 60
161 135 40
143 137 41
149 144 63
151 136 51
137 118 13
155 139 41
144 136 51
121 114 26
128 122 26
113 112 32
121 114 34
139 130 37
123 121 8
124 115 10
125 119 23
116 117 13
110 105 11
111 103 18
125 126 32
120 119 27
115 117 18
110 109 19
105 110 18
116 118 17
120 122 23
102 114 12
118 122 12
113 116 13
117 116 10
125 124 16
121 120 14
122 122 32
129 125 26
126 124 23
135 128 40
144 136 38
147 136 44
122 119 50
122 110 34
159 138 55
135 126 35
14 98 158
30 101 165
27 101 166
24 100 162
25 101 161
26 100 165
33 101 166
42 104 165
52 108 167
56 115 171
77 124 178
82 121 176
73 122 178
80 128 176
94 134 183
94 137 182
106 141 183
104 141 186
111 143 194
107 144 189
97 135 184
82 128 180
76 122 181
63 115 172
50 112 171
39 108 173
38 106 169
39 109 171
40 103 170
51 111 173
55 114 170
49 114 172
38 113 170
52 114 173
57 117 177
56 117 174
52 110 173
29 103 168
25 103 169
29 107 169
39 107 172
40 108 173
37 106 171
33 104 168
25 106 171
24 105 168
29 107 171
26 106 167
38 107 174
29 107 171
26 104 168
26 106 167
26 106 169
30 103 172
16 103 170
17 102 169
10 104 168
18 103 170
19 103 167
12 105 174
6 108 172
20 103 169
10 106 167
22 102 171
24 105 171
16 106 169
8 106 171
29 109 168
45 110 178
40 115 173
45 114 179
51 115 176
51 116 174
58 116 179
78 129 186
108 145 190
118 153 195
129 158 202
137 163 200
133 161 200
132 160 200
130 162 201
122 155 196
118 152 190
107 150 195
96 143 189
84 133 189
78 128 187
62 124 185
52 116 178
48 116 181
40 110 179
32 111 180
37 110 179
29 110 176
23 110 177
32 109 177
26 110 180
33 111 173
33 110 180
22 109 178
30 111 177
21 109 173
28 111 181
16 111 179
25 108 178
33 110 182
25 113 176
21 110 178
16 109 179
19 112 181
24 111 178
14 109 177
29 113 177
28 111 177
20 112 175
29 112 178
17 111 181
22 111 179
28 113 180
33 113 182
41 116 183
30 115 182
44 119 186
50 122 181
32 117 184
35 116 181
35 116 182
36 115 184
31 116 183
36 115 184
38 117 186
51 121 183
65 121 182
67 129 188
72 131 191
77 133 190
83 135 192
86 136 189
88 139 194
100 143 194
100 146 196
115 153 198
135 164 204
139 169 207
154 177 209
164 185 214
179 194 217
189 205 228
200 209 226
200 211 229
202 211 228
204 212 231
202 213 231
203 215 229
196 209 228
185 202 220
182 198 223
179 195 220
182 198 223
183 200 220
184 199 222
180 195 218
175 192 218
172 194 217
174 191 219
173 193 218
177 194 220
180 196 221
182 198 221
181 195 221
178 196 218
177 192 221
173 193 218
174 191 217
177 195 219
190 205 226
198 209 229
198 209 227
196 207 225
198 209 227
195 208 225
189 206 222
184 201 221
174 191 217
151 175 209
134 169 207
129 162 205
132 165 210
111 153 201
86 140 200
81 135 199
69 133 195
64 132 195
57 133 195
58 132 197
57 132 197
58 132 195
60 131 193
65 131 192
64 132 195
62 131 196
62 131 196
68 133 197
64 134 196
75 139 200
77 139 196
77 142 196
91 141 200
82 141 197
84 145 202
90 143 197
94 145 202
91 144 196
89 144 198
99 146 200
121 159 204
132 167 209
131 162 206
125 164 207
127 164 208
117 160 205
98 150 200
90 147 202
88 143 200
76 143 198
72 138 198
68 138 200
68 138 198
64 139 196
70 140 199
70 138 201
70 139 198
72 141 200
71 141 200
80 140 203
73 139 200
69 144 202
75 139 200
73 143 202
72 143 199
70 143 196
77 143 201
85 144 200
96 154 204
101 151 204
96 151 205
99 152 204
106 153 205
101 153 203
90 150 200
91 147 204
86 147 201
87 146 204
84 146 203
83 145 204
84 145 202
77 148 200
88 147 205
85 148 202
76 149 202
87 146 202
90 149 205
85 148 202
89 149 203
95 152 207
141 173 212
184 200 223
208 211 220
214 219 223
220 221 225
218 221 226
221 222 224
216 219 224
213 216 221
217 217 225
212 215 224
204 211 219
206 213 223
211 216 222
206 215 220
200 210 222
188 201 220
175 192 212
168 193 213
166 186 211
148 179 210
157 182 212
179 195 218
193 202 217
195 205 217
196 206 215
200 207 217
198 206 217
188 199 217
176 194 216
175 194 211
174 192 212
168 185 211
162 183 212
149 180 211
144 177 210
145 175 211
145 175 211
135 170 210
126 170 205
136 174 210
138 172 209
142 176 213
157 184 211
170 188 212
179 192 211
182 195 211
192 199 215
196 203 213
201 208 218
202 209 215
196 205 214
194 204 214
193 199 213
191 201 211
193 202 211
197 204 212
202 206 215
197 204 212
191 201 213
173 190 210
159 183 209
144 177 208
135 175 210
132 172 207
136 174 210
133 174 204
126 170 209
120 168 206
125 169 206
130 170 206
129 172 207
124 170 204
123 169 205
120 170 207
125 171 207
125 169 204
132 172 207
131 171 206
130 173 208
136 177 207
142 177 207
154 182 206
156 182 209
159 186 207
158 185 204
157 182 204
155 181 208
144 178 205
140 175 203
148 178 206
158 182 206
167 185 207
165 183 207
162 182 207
155 183 207
150 181 202
148 177 207
147 177 203
144 178 206
146 177 205
142 176 204
141 176 204
140 177 204
143 177 204
141 178 204
148 180 205
148 180 205
149 179 205
147 177 203
156 183 204
154 180 203
149 179 205
138 180 204
147 178 206
145 177 202
151 178 205
148 178 202
145 177 202
144 178 203
144 180 204
149 181 204
148 180 203
153 181 205
149 181 204
149 181 204
154 183 201
152 178 203
156 182 207
150 161 155
126 115 0
138 125 46
140 134 50
143 141 41
151 140 51
138 127 37
125 119 31
145 133 49
144 138 44
126 120 32
137 131 43
150 140 43
155 140 45
148 139 38
144 136 37
147 137 42
163 148 79
144 129 60
132 125 37
123 117 29
121 122 20
130 129 23
138 128 43
126 117 22
131 122 31
143 131 55
135 127 46
142 134 36
151 135 40
129 122 31
123 108 25
126 120 36
133 122 42
156 133 55
146 129 47
137 125 41
146 131 50
161 150 60
154 139 48
158 147 67
145 139 53
127 121 37
140 130 32
150 139 24
138 130 23
142 133 38
141 131 44
117 111 25
110 114 17
130 124 30
122 118 27
121 113 15
124 115 20
118 117 24
106 105 12
98 105 9
110 111 9
113 116 11
117 117 19
107 109 25
114 117 28
118 112 26
105 104 11
103 114 9
116 121 21
109 105 14
122 119 16
125 123 22
124 126 16
133 131 31
124 125 31
114 120 14
139 133 35
147 137 48
149 138 58
122 116 40
128 116 44
164 138 53
127 115 31
17 98 163
28 99 165
18 99 164
18 98 159
26 100 165
30 104 167
43 104 169
49 110 167
59 111 171
71 120 178
80 126 178
79 125 177
73 126 176
80 126 176
95 133 182
99 135 185
97 138 184
104 142 187
105 141 191
107 145 190
89 135 184
77 127 180
71 123 180
60 115 171
48 113 171
41 107 168
35 111 173
36 103 171
49 109 171
46 108 169
48 114 172
51 113 172
51 110 170
54 114 174
54 116 173
59 115 176
51 111 173
26 107 172
8 103 167
26 104 168
41 106 172
37 107 169
35 107 166
36 107 169
19 104 171
28 103 170
26 106 169
22 107 174
31 104 172
34 108 173
36 103 174
27 106 172
20 103 169
20 103 173
20 103 171
23 103 172
11 106 170
13 102 170
18 102 172
18 102 172
6 103 171
15 102 169
17 106 174
10 104 168
23 104 170
22 102 171
16 103 170
23 108 172
34 110 172
41 112 174
45 115 175
52 116 177
57 116 176
56 116 178
73 125 183
100 137 189
114 148 193
126 155 197
138 163 203
134 162 201
125 159 197
130 159 203
131 156 197
118 151 196
110 154 193
97 145 193
86 133 185
75 125 186
59 124 182
54 120 181
43 112 177
35 114 180
33 110 180
37 110 178
34 109 174
30 110 179
26 109 175
11 110 175
17 110 177
24 108 181
21 110 178
17 111 173
17 109 182
24 111 178
20 109 179
21 108 175
28 107 176
17 110 179
24 112 176
19 111 178
20 112 179
27 112 177
29 109 178
32 110 176
9 114 179
17 112 176
30 110 181
18 111 178
26 113 180
24 111 178
32 116 178
46 122 182
31 115 179
42 116 177
50 121 185
30 118 181
34 116 176
35 116 179
30 113 179
28 117 183
35 115 178
33 118 183
43 119 179
60 121 186
68 127 183
71 133 194
76 137 191
92 137 194
91 138 192
86 133 189
93 146 198
100 142 192
114 153 196
139 169 207
145 171 208
155 178 212
167 183 209
175 192 218
191 204 221
198 211 228
204 211 227
203 212 229
201 212 230
204 211 229
203 214 232
195 208 224
187 203 226
181 197 220
172 194 218
172 192 217
178 196 220
183 198 221
177 193 218
178 192 219
176 193 219
173 190 216
176 191 220
178 195 221
181 197 222
182 197 220
181 197 220
178 194 219
176 196 221
176 193 221
175 192 218
178 194 219
184 202 224
193 208 227
194 207 224
197 210 227
196 207 225
199 210 228
193 206 225
183 198 221
174 191 217
153 177 211
134 170 206
129 164 206
132 165 208
112 154 204
86 141 198
76 134 197
70 134 196
62 133 195
54 130 192
56 130 193
56 130 193
57 133 195
60 131 193
61 132 194
60 131 197
60 131 195
62 133 195
68 134 192
68 136 197
74 139 195
78 139 196
79 141 200
87 144 197
94 145 202
88 143 200
89 144 198
88 144 195
100 147 203
95 147 204
99 148 204
121 158 203
134 167 208
135 167 208
129 163 208
126 163 208
122 159 204
103 150 202
92 144 201
87 143 200
80 142 199
75 139 200
68 138 198
64 138 199
71 140 199
69 139 199
69 139 201
76 138 199
74 141 196
76 141 199
69 138 197
77 142 200
74 140 200
73 142 201
73 142 199
73 142 199
71 144 199
85 141 200
85 144 204
99 151 199
97 153 204
99 149 202
106 152 202
106 152 204
102 152 201
95 151 202
92 149 204
87 146 202
85 146 200
83 145 202
83 145 202
83 145 202
86 147 204
87 148 203
84 149 203
81 148 201
86 147 204
84 147 201
85 150 204
87 150 204
88 148 202
133 166 207
182 197 218
208 211 220
217 218 222
222 223 227
224 222 227
223 222 227
218 219 223
215 218 225
214 217 224
211 215 224
203 210 220
206 213 221
210 214 223
205 214 221
199 209 219
190 201 219
174 192 214
174 192 214
165 186 213
153 179 212
158 184 209
178 196 218
192 202 214
197 203 217
197 205 216
200 206 218
196 209 218
187 200 216
175 193 215
174 192 212
174 192 214
167 187 212
157 182 212
150 179 211
143 176 209
145 178 213
146 176 210
138 172 210
123 168 207
129 172 207
137 169 207
148 178 212
153 183 209
159 184 214
172 190 210
177 194 210
185 197 211
191 199 210
199 206 214
202 209 217
198 205 213
195 203 214
193 201 214
190 200 212
192 202 212
199 203 212
200 207 215
200 204 215
190 200 212
175 190 211
158 184 209
143 178 208
134 174 209
130 173 207
137 176 209
134 175 207
125 171 207
120 168 206
125 169 204
125 167 207
127 169 207
128 171 206
122 171 204
126 172 206
127 171 206
130 170 206
132 173 205
129 172 206
132 172 208
139 176 205
148 177 207
157 183 206
158 182 208
160 185 207
161 183 206
159 183 207
153 180 209
145 176 205
143 178 206
143 174 202
158 185 206
167 185 205
163 184 205
161 181 206
155 181 204
151 182 203
147 177 205
147 179 204
147 178 206
146 177 205
143 177 205
141 176 204
142 177 205
140 176 202
147 178 206
145 177 202
145 179 204
148 178 202
152 180 204
157 182 204
157 179 203
150 180 204
146 177 205
148 180 205
150 176 201
147 178 206
150 178 202
144 178 203
146 178 203
148 180 205
149 181 204
149 181 202
150 181 202
151 181 205
150 180 204
150 178 202
155 181 204
156 182 205
140 152 142
138 125 21
143 132 52
138 130 47
140 133 42
141 130 41
135 128 47
134 126 41
134 124 39
131 117 29
135 121 32
156 141 50
146 134 32
136 124 26
167 147 61
148 134 29
143 129 30
149 136 57
148 131 61
140 133 43
136 128 29
137 129 31
135 125 40
129 125 36
124 120 21
133 122 30
150 136 65
150 134 56
140 127 31
134 122 20
135 130 36
136 121 30
134 124 37
133 123 34
126 117 38
136 123 45
139 132 44
140 130 35
140 136 28
141 135 49
153 142 62
125 118 30
144 136 51
146 138 37
151 143 42
152 143 52
134 123 34
135 123 37
129 122 31
126 114 6
139 123 36
127 120 30
118 112 14
115 111 11
114 113 23
108 108 20
114 113 7
107 108 4
108 112 15
111 113 16
110 110 14
119 123 29
110 108 23
101 102 0
111 118 15
125 129 32
100 100 14
117 118 24
111 118 12
111 113 6
127 123 15
120 122 13
133 131 20
154 144 57
133 122 58
144 130 59
107 99 24
123 122 39
139 123 45
108 92 7
10 95 162
7 99 162
9 98 158
16 100 164
29 99 168
38 103 167
46 107 164
50 111 166
58 114 171
73 120 172
82 125 178
85 128 181
81 133 181
91 134 185
92 134 184
91 135 182
92 136 185
99 140 184
104 141 186
106 142 190
94 138 185
82 128 180
70 123 177
55 117 178
47 113 173
52 111 169
39 107 168
40 108 173
43 107 169
41 110 167
51 111 173
58 112 172
52 111 171
51 113 174
54 114 176
48 112 173
39 111 170
32 108 170
24 103 172
30 104 167
41 104 171
33 107 170
33 104 168
20 105 172
23 103 172
29 104 171
29 105 167
24 105 171
33 107 172
37 105 170
32 105 173
23 104 170
9 107 170
19 102 170
24 105 170
20 105 169
11 105 169
24 103 170
9 104 170
12 101 169
12 105 172
19 103 173
24 103 170
20 105 172
17 105 169
16 103 172
20 103 171
28 105 177
29 109 172
40 111 175
57 112 176
61 116 180
62 116 180
50 116 176
66 123 178
92 133 189
102 145 190
124 156 194
136 164 201
132 161 203
128 158 196
128 157 199
126 154 201
118 150 197
111 150 193
106 147 193
88 134 186
71 128 183
69 125 184
55 119 181
39 117 179
41 115 178
39 110 174
37 111 176
29 110 173
32 110 176
22 109 178
23 110 177
21 110 178
24 111 178
17 109 176
1 110 177
24 111 182
29 110 175
15 108 177
20 112 177
6 109 176
20 111 181
27 110 178
32 110 176
26 111 175
19 110 181
27 111 183
26 111 176
28 111 181
29 112 178
21 112 182
20 114 178
18 111 181
22 111 179
28 113 180
44 118 179
34 117 185
24 113 181
35 114 180
32 115 185
27 114 183
43 113 182
37 114 182
34 115 181
37 116 183
41 116 184
42 117 184
41 119 185
53 120 188
58 126 187
69 130 187
79 131 191
82 132 193
86 137 194
90 139 197
100 143 196
114 152 197
141 171 207
148 172 208
153 176 210
163 184 215
176 194 216
187 204 224
197 208 228
199 210 230
201 213 229
196 212 228
199 212 228
200 211 229
196 207 225
193 205 229
182 198 223
173 190 218
168 190 214
171 193 217
178 195 223
179 195 221
176 192 217
175 195 220
177 193 219
172 192 216
176 193 219
181 195 221
180 195 218
181 196 219
179 197 221
175 195 220
172 192 219
173 190 218
179 193 220
183 199 222
189 204 225
191 206 225
193 209 225
200 212 226
202 211 226
194 209 228
182 198 223
172 189 215
155 179 213
137 170 205
128 165 209
130 165 207
111 151 202
88 140 198
68 137 196
61 131 193
59 130 192
56 132 194
57 131 194
59 133 196
56 132 194
57 133 193
55 134 193
56 132 192
58 132 195
58 134 194
66 132 193
71 137 198
75 140 198
82 141 197
85 141 198
84 143 201
93 144 199
90 148 198
89 144 200
95 146 199
91 143 200
98 148 201
104 151 203
120 158 205
135 168 209
134 170 204
128 165 207
129 164 206
121 159 206
109 152 203
95 146 203
88 144 201
81 143 202
77 139 198
70 140 199
69 141 199
72 136 198
72 138 198
72 141 198
76 140 201
74 140 200
71 140 199
74 139 197
69 141 200
72 140 201
72 141 200
72 142 201
81 141 203
80 142 201
79 144 202
83 145 202
103 150 202
104 154 205
91 152 199
102 154 201
104 154 207
98 154 203
94 149 203
86 148 205
86 147 202
80 147 200
80 145 201
79 146 201
80 147 202
85 148 202
84 147 201
89 148 204
84 145 202
89 148 204
86 149 203
84 150 202
86 148 207
88 149 204
141 174 209
193 207 220
202 212 224
217 220 227
223 223 225
225 223 224
222 220 225
217 218 223
215 218 225
213 218 224
204 211 219
201 210 219
206 213 223
209 214 220
204 211 219
201 207 219
191 203 219
176 192 217
174 192 216
163 187 215
156 181 211
159 185 208
179 197 219
191 201 213
193 202 217
197 203 217
199 207 220
198 206 217
185 198 214
172 193 214
175 193 217
175 193 217
164 188 216
156 183 210
148 177 211
147 177 211
146 179 214
146 176 210
138 172 207
121 165 210
128 170 210
140 174 209
153 180 209
152 181 211
145 178 211
166 188 209
182 193 211
186 198 214
194 202 213
201 205 214
204 209 215
199 206 214
194 203 212
189 202 211
193 199 213
195 203 214
199 206 216
200 204 213
199 206 216
191 199 212
175 192 212
158 186 210
144 179 209
136 175 208
133 174 206
134 177 211
134 175 207
122 170 206
123 169 205
122 170 206
120 168 208
125 171 207
126 172 206
127 169 207
127 170 205
128 170 208
128 170 210
132 172 208
129 173 208
133 173 208
141 174 205
154 180 207
157 181 205
158 182 206
162 184 207
166 184 208
157 181 205
149 181 206
147 176 206
143 178 206
142 177 205
160 182 206
